obs,gpa,iq,gender,concept
1,7.94,111,2,67
2,8.292,107,2,43
3,4.643,100,2,52
4,7.47,107,2,66
5,8.882,114,1,58
6,7.585,115,2,51
7,7.65,111,2,71
8,2.412,97,2,51
9,6,100,1,49
10,8.833,112,2,51
11,7.47,104,1,35
12,5.528,89,1,54
13,7.167,104,2,54
14,7.571,102,1,64
15,4.7,91,1,56
16,8.167,114,1,69
17,7.822,114,1,55
18,7.598,103,1,65
19,4,106,2,40
20,6.231,105,1,66
21,7.643,113,2,55
22,1.76,109,2,20
23,6.419,108,1,56
24,9.648,113,2,68
25,10.7,130,1,69
26,10.58,128,2,70
27,9.429,128,2,80
28,8,118,2,53
29,9.585,113,2,65
30,9.571,120,1,67
31,8.998,132,1,62
32,8.333,111,1,39
33,8.175,124,2,71
34,8,127,2,59
35,9.333,128,1,60
36,9.5,136,2,64
37,9.167,106,2,71
38,10.14,118,1,72
39,9.999,119,1,54
40,10.76,123,2,64
41,9.763,124,2,58
42,9.41,126,2,70
43,9.167,116,2,72
44,9.348,127,2,70
45,8.167,119,2,47
46,3.647,97,2,52
47,3.408,86,1,46
48,3.936,102,2,66
49,7.167,110,2,67
50,7.647,120,2,63
51,0.53,103,2,53
52,6.173,115,2,67
53,7.295,93,2,61
54,7.295,72,1,54
55,8.938,111,1,60
56,7.882,103,1,60
57,8.353,123,2,63
58,5.062,79,2,30
59,8.175,119,2,54
60,8.235,110,2,66
61,7.588,110,2,44
62,7.647,107,2,49
63,5.237,74,1,44
64,7.825,105,2,67
65,7.333,112,1,64
66,9.167,105,2,73
67,7.996,110,2,59
68,8.714,107,1,37
69,7.833,103,1,63
70,4.885,77,2,36
71,7.998,98,1,64
72,3.82,90,2,42
73,5.936,96,1,28
74,9,112,1,60
75,9.5,112,1,70
76,6.057,114,2,51
77,6.057,93,1,21
78,6.938,106,2,56
